week_ending,ticker,drawdown,week_over_week
2026-06-26,QQQ,-0.053125,-0.046042
2026-06-26,SMH,-0.085662,-0.073150
2026-06-26,VOO,-0.040100,-0.025941
2026-07-02,QQQ,-0.044977,0.008605
2026-07-02,SMH,-0.114545,-0.031589
2026-07-02,VOO,-0.019219,0.021753
2026-07-10,QQQ,-0.027675,0.018117
2026-07-10,SMH,-0.086529,0.031640
2026-07-10,VOO,-0.006301,0.013171
2026-07-17,QQQ,-0.068122,-0.041598
2026-07-17,SMH,-0.168005,-0.089194
2026-07-17,VOO,-0.021611,-0.015407
2026-07-24,QQQ,-0.086048,-0.015964
2026-07-24,SMH,-0.164685,0.008373
2026-07-24,VOO,-0.028620,-0.005899
2026-07-31,QQQ,-0.081026,0.005495
2026-07-31,SMH,-0.195436,-0.036815
2026-07-31,VOO,-0.017879,0.011058
2026-08-07,QQQ,-0.034222,0.050931
2026-08-07,SMH,-0.132667,0.078016
2026-08-07,VOO,-0.004831,0.035040
2026-08-14,QQQ,-0.023482,0.011120
2026-08-14,SMH,-0.125047,0.008787
2026-08-14,VOO,-0.003881,0.004080
2026-08-21,QQQ,-0.047031,-0.024115
2026-08-21,SMH,-0.165831,-0.046613
2026-08-21,VOO,-0.017700,-0.013873
